cancer_gene_type	mutation_count_bin	gene_exp	gene_size_group
TSG	2-5	0.07745414183310739	Q1
TSG	5-10	0.05378454444841903	Q3
TSG	2-5	0.0022421827498960052	Q3
TSG	0-2	0.22644793463821766	Q1
TSG	0-2	0.0	Q3
TSG	0-2	0.2315318046103193	Q2
TSG	5-10	0.0013155339985926463	Q3
TSG	0-2	0.35061141418215463	Q1
TSG	10+	0.025977140045482707	Q3
TSG	0-2	0.06534690353944382	Q2
TSG	0-2	0.05281666372494706	Q1
TSG	10+	0.0002583402987151383	Q3
TSG	0-2	0.13560930776840213	Q1
TSG	0-2	0.1610482900860702	Q2
TSG	0-2	0.16057566261975859	Q1
TSG	10+	0.0003303154246702973	Q3
TSG	10+	0.17699439131836675	Q1
TSG	0-2	0.006121186115982453	Q1
TSG	10+	0.08051075453304081	Q2
TSG	5-10	0.11176315782057891	Q1
TSG	10+	0.006499827770609986	Q3
TSG	10+	0.13405253169347542	Q1
TSG	0-2	0.293522582721847	Q1
TSG	5-10	0.02655764113846461	Q2
TSG	2-5	0.07053436793348555	Q1
TSG	2-5	0.003558969534648859	Q1
TSG	10+	0.07064198148312759	Q2
TSG	10+	0.0011753851314701702	Q3
TSG	2-5	0.3338513230185661	Q1
TSG	0-2	0.12468149020604599	Q2
TSG	5-10	0.006035745033180943	Q3
TSG	0-2	0.14631004945170353	Q2
TSG	10+	0.04061398084321901	Q3
TSG	0-2	0.10989249745600065	Q1
TSG	0-2	0.062218211198032586	Q2
TSG	0-2	0.10656812256569509	Q2
TSG	5-10	0.0007618013239091676	Q3
TSG	0-2	0.38284534235667406	Q2
TSG	2-5	0.0002323827200517067	Q3
TSG	2-5	0.0032656926819717336	Q3
TSG	0-2	0.043480910914921754	Q2
TSG	0-2	0.27100333764595447	Q1
